

Test Nr.   |       m   |       s   |    time[seconds]   |   time [seconds]
           |           |           |     cProfile       |     elapsed time
---------------------------------------------------------------------------
     1     |      12   |      21   |       0.000        |          0.0   [False]
     2     |      12   |      26   |       0.000        |          0.0   [True]
     3     |      12   |      52   |       0.000        |          0.0   [True]
     4     |      24   |     104   |       0.000        |          0.0   [True]
     5     |      24   |    1058   |       0.000        |          0.0   [True]
     6     |    1056   |    1040   |       0.000        |          0.0   [False]
     7     |    2056   |    4874   |       0.001        |          0.0   [True]
     8     |    3224   |    3224   |       0.000        |          0.0   [False]
     9     |    8064   |   19136   |       0.002        |     0.015625   [True]
    10     |   15456   |   37544   |       0.007        |

    10     |   15456   |   37544   |       0.124        |     0.015625
    10     |   15456   |   37544   |       0.007        |     0.015625
